ATC_LVL5,ATC_LVL4,ATC_LVL3,ATC_LVL2,ATC_LVL1
silicones,other drugs for functional gastrointestinal disorders in atc,drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
cefatrizine,first-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
urofollitropin,gonadotropins,gonadotropins and other ovulation stimulants,sex hormones and modulators of the genital system,genito urinary system and sex hormones
promethazine,antihistamines for topical use,"antipruritics, incl. antihistamines, anesthetics, etc.","antipruritics, incl. antihistamines, anesthetics, etc.",dermatologicals
pinacidil and diuretics,other antihypertensives and diuretics in atc,antihypertensives and diuretics in combination,antihypertensives,cardiovascular system drugs
sargramostim,colony stimulating factors,immunostimulants,immunostimulants,antineoplastic and immunomodulating agents
cilostazol,platelet aggregation inhibitors excl. heparin,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs
"emepronium, combinations","hypnotics and sedatives in combination, excl. barbiturates",hypnotics and sedatives,psycholeptics,nervous system drugs
androstanolone,androstan derivatives,anabolic steroids,anabolic agents for systemic use,alimentary tract and metabolism drugs
mefenorex,centrally acting antiobesity products,"antiobesity preparations, excl. diet products","antiobesity preparations, excl. diet products",alimentary tract and metabolism drugs
emtricitabine,nucleoside and nucleotide reverse transcriptase inhibitors,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
aliskiren and amlodipine,renin-inhibitors,other agents acting on the renin-angiotensin system in atc,agents acting on the renin-angiotensin system,cardiovascular system drugs
imiquimod,"antivirals, topical",chemotherapeutics for topical use,antibiotics and chemotherapeutics for dermatological use,dermatologicals
chloroform,"halogenated hydrocarbons, general anesthetics","anesthetics, general",anesthetics,nervous system drugs
ciclonicate,"nicotinic acid and derivatives, peripheral vasodilators",peripheral vasodilators,peripheral vasodilators,cardiovascular system drugs
euflavine,"acridine derivatives, antiseptics and disinfectants",antiseptics and disinfectants,antiseptics and disinfectants,dermatologicals
"propyphenazone, combinations excl. psycholeptics","pyrazolones, analgesics and antipyretics",other analgesics and antipyretics in atc,analgesics,nervous system drugs
succinylsulfathiazole,"sulfonamides, intestinal antiinfectives",intestinal antiinfectives,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",alimentary tract and metabolism drugs
hydrocortisone aceponate,"corticosteroids, potent (group iii)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals
"morphine, combinations",natural opium alkaloid analgesics,opioid analgesics,analgesics,nervous system drugs
phenylbutazone,"antiinflammatory preparations, non-steroids for topical use",topical products for joint and muscular pain,topical products for joint and muscular pain,musculo-skeletal system drugs
flumetasone and antiinfectives,corticosteroids and antiinfectives in combination,"corticosteroids and antiinfectives in combination, otologic",otologicals,sensory organ drugs
flumetasone and antiinfectives,corticosteroids and antiinfectives in combination,"corticosteroids and antiinfectives in combination, opthalmologic and otologic",ophthalmological and otological preparations,sensory organ drugs
levothyroxine sodium,thyroid hormones,thyroid preparations,thyroid therapy drugs,"systemic hormonal preparations, excl. sex hormones and insulins"
betahistine,antivertigo preparations,antivertigo preparations,other nervous system drugs in atc,nervous system drugs
copper usnate,other gynecological antiinfectives and antiseptics in atc,"antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones
hexamidine,antiinfectives,"antiinfectives, ophthalmologic and otologic",ophthalmological and otological preparations,sensory organ drugs
hexamidine,antiinfectives,"antiinfective drugs, otologic",otologicals,sensory organ drugs
bosutinib,"protein kinase inhibitors, antineoplastic drugs",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
xenon (127xe) gas,other respiratory system diagnostic radiopharmaceuticals in atc,respiratory system diagnostic radiopharmaceuticals,diagnostic radiopharmaceuticals,various drug classes in atc
theophylline,"xanthines, systemic for obstructive airway disease",other systemic drugs for obstructive airway diseases in atc,drugs for obstructive airway diseases,respiratory system drugs
clobetasone,"corticosteroids, moderately potent (group ii)","corticosteroid dermatological preparations, plain","corticosteroids, dermatological preparations",dermatologicals
"emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat","antivirals for treatment of hiv infections, combinations",direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
ethulose,bulk-forming laxatives,drugs for constipation,drugs for constipation,alimentary tract and metabolism drugs
pargyline and diuretics,mao inhibitors and diuretics,antihypertensives and diuretics in combination,antihypertensives,cardiovascular system drugs
trospium and analgesics,synthetic anticholinergic agents in combination with analgesics,antispasmodics in combination with analgesics,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
chloramphenicol,antiinfectives,"antiinfectives, ophthalmologic and otologic",ophthalmological and otological preparations,sensory organ drugs
chloramphenicol,antiinfectives,"antiinfective drugs, otologic",otologicals,sensory organ drugs
pyrrolnitrin,"antifungal antibiotics, topical",antifungals for topical use,antifungals for dermatological use,dermatologicals
axitinib,"protein kinase inhibitors, antineoplastic drugs",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
