,ATC_LVL5,ATC_LVL4,ATC_LVL3,ATC_LVL2,ATC_LVL1,active_ingredient,smile_x,ATC_LVL0
0,promethazine,antihistamines for topical use,"antipruritics, incl. antihistamines, anesthetics, etc.","antipruritics, incl. antihistamines, anesthetics, etc.",dermatologicals,promethazine,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,ROOT
1,promethazine,"phenothiazine derivatives, systemic antihistamines",antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs,promethazine,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,ROOT
2,cilostazol,platelet aggregation inhibitors excl. heparin,antithrombotic agents,antithrombotic agents,blood and blood forming organ drugs,cilostazol,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,ROOT
3,emtricitabine,nucleoside and nucleotide reverse transcriptase inhibitors,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use,emtricitabine,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,ROOT
4,imiquimod,"antivirals, topical",chemotherapeutics for topical use,antibiotics and chemotherapeutics for dermatological use,dermatologicals,imiquimod,CC(C)Cn1cnc2c(N)nc3ccccc3c21,ROOT
5,phenylbutazone,"antiinflammatory preparations, non-steroids for topical use",topical products for joint and muscular pain,topical products for joint and muscular pain,musculo-skeletal system drugs,phenylbutazone,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,ROOT
6,phenylbutazone,"butylpyrazolidines, antiinflammatory and antirheumatic drugs","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs,phenylbutazone,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,ROOT
7,betahistine,antivertigo preparations,antivertigo preparations,other nervous system drugs in atc,nervous system drugs,betahistine,CNCCc1ccccn1,ROOT
8,bosutinib,"protein kinase inhibitors, antineoplastic drugs",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents,bosutinib,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,ROOT
9,theophylline,"xanthines, systemic for obstructive airway disease",other systemic drugs for obstructive airway diseases in atc,drugs for obstructive airway diseases,respiratory system drugs,theophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O,ROOT
10,chloramphenicol,antiinfectives,"antiinfectives, ophthalmologic and otologic",ophthalmological and otological preparations,sensory organ drugs,chloramphenicol,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,ROOT
11,chloramphenicol,antiinfectives,"antiinfective drugs, otologic",otologicals,sensory organ drugs,chloramphenicol,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,ROOT
12,chloramphenicol,"antibiotics, gynecological","antiinfectives and antiseptics, excl. combinations with corticosteroids",gynecological antiinfectives and antiseptics,genito urinary system and sex hormones,chloramphenicol,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,ROOT
13,chloramphenicol,other antibiotics for topical use in atc,antibiotics for topical use,antibiotics and chemotherapeutics for dermatological use,dermatologicals,chloramphenicol,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,ROOT
14,chloramphenicol,"amphenicol antibacterials, systemic",amphenicols,antibacterials for systemic use,antiinfectives for systemic use,chloramphenicol,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,ROOT
15,chloramphenicol,antiinfectives for treatment of acne,anti-acne preparations for topical use,anti-acne preparations,dermatologicals,chloramphenicol,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,ROOT
